Título,Ano,Nota IMDb,Link,Gêneros,Sinopse,Elenco Principal
Antes do Amanhecer,1995,8.1,https://www.imdb.com/pt/title/tt0112471/?ref_=chttp_i_191,N/A,Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.,"Ethan Hawke, Julie Delpy, Andrea Eckert"
Homem-Aranha: Sem Volta para Casa,2021,8.2,https://www.imdb.com/pt/title/tt10872600/?ref_=chttp_i_192,N/A,"Com a identidade de Homem-Aranha revelada, Peter Parker pede ajuda ao Doutor Estranho. Quando um feitiço dá errado, inimigos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.","Tom Holland, Zendaya, Benedict Cumberbatch"
Blade Runner: O Caçador de Andróides,1982,8.1,https://www.imdb.com/pt/title/tt0083658/?ref_=chttp_i_193,N/A,Um blade runner deve perseguir e eliminar quatro replicantes que roubaram uma nave no espaço e retornaram à Terra para encontrar seu criador.,"Harrison Ford, Rutger Hauer, Sean Young"
Memórias de um Assassino,2003,8.1,https://www.imdb.com/pt/title/tt0353969/?ref_=chttp_i_194,N/A,"Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.","Song Kang-ho, Kim Sang-kyung, Kim Roe-ha"
Garota Exemplar,2014,8.1,https://www.imdb.com/pt/title/tt2267998/?ref_=chttp_i_195,N/A,"Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.","Ben Affleck, Rosamund Pike, Neil Patrick Harris"
Ratatouille,2007,8.1,https://www.imdb.com/pt/title/tt0382932/?ref_=chttp_i_196,N/A,Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.,"Brad Garrett, Lou Romano, Patton Oswalt"
Como Treinar o Seu Dragão,2010,8.1,https://www.imdb.com/pt/title/tt0892769/?ref_=chttp_i_197,N/A,"Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse"
Monstros S.A.,2001,8.1,https://www.imdb.com/pt/title/tt0198781/?ref_=chttp_i_198,N/A,"Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.","Billy Crystal, John Goodman, Mary Gibbs"
Em Nome do Pai,1993,8.1,https://www.imdb.com/pt/title/tt0107207/?ref_=chttp_i_199,N/A,"Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.","Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie"
Tubarão,1975,8.1,https://www.imdb.com/pt/title/tt0073195/?ref_=chttp_i_200,N/A,"Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.","Roy Scheider, Robert Shaw, Richard Dreyfuss"
Relatos Selvagens,2014,8.1,https://www.imdb.com/pt/title/tt3011894/?ref_=chttp_i_201,N/A,Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.,"Darío Grandinetti, María Marull, Mónica Villa"
Em Busca do Ouro,1925,8.1,https://www.imdb.com/pt/title/tt0015864/?ref_=chttp_i_202,N/A,Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.,"Charles Chaplin, Mack Swain, Tom Murray"
Ford vs. Ferrari,2019,8.1,https://www.imdb.com/pt/title/tt1950186/?ref_=chttp_i_203,N/A,"Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.","Matt Damon, Christian Bale, Jon Bernthal"
Bancando o Águia,1924,8.1,https://www.imdb.com/pt/title/tt0015324/?ref_=chttp_i_204,N/A,Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.,"Buster Keaton, Kathryn McGuire, Joe Keaton"
Mary e Max - Uma Amizade Diferente,2009,8.1,https://www.imdb.com/pt/title/tt0978762/?ref_=chttp_i_205,N/A,"Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.","Toni Collette, Philip Seymour Hoffman, Eric Bana"
O Franco Atirador,1978,8.1,https://www.imdb.com/pt/title/tt0077416/?ref_=chttp_i_206,N/A,Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.,"Robert De Niro, Christopher Walken, John Cazale"
O Salário do Medo,1953,8.1,https://www.imdb.com/pt/title/tt0046268/?ref_=chttp_i_207,N/A,"Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.","Yves Montand, Charles Vanel, Peter van Eyck"
A General,1926,8.1,https://www.imdb.com/pt/title/tt0017925/?ref_=chttp_i_208,N/A,"Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.","Buster Keaton, Marion Mack, Glen Cavender"
A Mulher Faz o Homem,1939,8.1,https://www.imdb.com/pt/title/tt0031679/?ref_=chttp_i_209,N/A,"Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste.","James Stewart, Jean Arthur, Claude Rains"
Sindicato de Ladrões,1954,8.1,https://www.imdb.com/pt/title/tt0047296/?ref_=chttp_i_210,N/A,"Um ex-pugilista de Nova Jersey, agora um operário portuário, luta para enfrentar seus chefes sindicais corruptos, incluindo seu irmão mais velho, enquanto começa a se conectar com a irmã de uma das vítimas do sindicato.","Marlon Brando, Karl Malden, Lee J. Cobb"
Logan,2017,8.1,https://www.imdb.com/pt/title/tt3315342/?ref_=chttp_i_211,N/A,"Em um futuro em que os mutantes estão quase extintos, um velho e cansado Logan leva uma vida tranquila. Mas quando Laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança.","Hugh Jackman, Patrick Stewart, Dafne Keen"
"Rocky, um Lutador",1976,8.1,https://www.imdb.com/pt/title/tt0075148/?ref_=chttp_i_212,N/A,Um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.,"Sylvester Stallone, Talia Shire, Burt Young"
Morangos Silvestres,1957,8.1,https://www.imdb.com/pt/title/tt0050986/?ref_=chttp_i_213,N/A,"Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.","Victor Sjöström, Bibi Andersson, Ingrid Thulin"
Era uma Vez em Tóquio,1953,8.1,https://www.imdb.com/pt/title/tt0046438/?ref_=chttp_i_214,N/A,"Um casal de idosos viaja para Tóquio para visitar seus filhos, mas encontram indiferença, ingratidão e uma marcada diferença cultural. Quando os idosos voltam para casa, entramos em uma profunda reflexão sobre a mortalidade e a família.","Chishû Ryû, Chieko Higashiyama, Sô Yamamura"
O 3º Homem,1949,8.1,https://www.imdb.com/pt/title/tt0041959/?ref_=chttp_i_215,N/A,"O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime","Orson Welles, Joseph Cotten, Alida Valli"
Spotlight: Segredos Revelados,2015,8.1,https://www.imdb.com/pt/title/tt1895587/?ref_=chttp_i_216,N/A,A verdadeira historia de como o jornal Boston Globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.,"Mark Ruffalo, Michael Keaton, Rachel McAdams"
Piratas do Caribe: A Maldição do Pérola Negra,2003,8.1,https://www.imdb.com/pt/title/tt0325980/?ref_=chttp_i_217,N/A,"O ferreiro Will Turner se une ao excêntrico pirata ""Capitão"" Jack Sparrow para salvar Elizabeth Swann, a filha do governador e seu amor, dos ex-aliados piratas de Jack, que agora são mortos-vivos.","Johnny Depp, Geoffrey Rush, Orlando Bloom"
O Mistério da Lixeira,2024,8.4,https://www.imdb.com/pt/title/tt26548265/?ref_=chttp_i_218,N/A,"Um barbeiro busca vingança depois que sua casa é assaltada, dizendo enigmaticamente à polícia que sua ""lakshmi"" foi levada, deixando-os incertos se é uma pessoa ou um objeto. Sua busca para recuperar a elusiva ""lakshmi"" se desenrola.","Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
O Exterminador do Futuro,1984,8.1,https://www.imdb.com/pt/title/tt0088247/?ref_=chttp_i_219,N/A,"Um assassino ciborgue do futuro tenta encontrar e matar Sarah Connor, uma garçonete que está destinada a ser a mãe de um homem que salvará a humanidade da extinção.","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
O Grande Lebowski,1998,8.1,https://www.imdb.com/pt/title/tt0118715/?ref_=chttp_i_220,N/A,"Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.","Jeff Bridges, John Goodman, Julianne Moore"
O Ódio,1995,8.1,https://www.imdb.com/pt/title/tt0113247/?ref_=chttp_i_221,N/A,24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui"
O Sétimo Selo,1957,8.1,https://www.imdb.com/pt/title/tt0050976/?ref_=chttp_i_222,N/A,"Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.","Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"
O Quarto de Jack,2015,8.1,https://www.imdb.com/pt/title/tt3170832/?ref_=chttp_i_223,N/A,"Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.","Brie Larson, Jacob Tremblay, Sean Bridgers"
Jai Bhim,2021,8.6,https://www.imdb.com/pt/title/tt15097216/?ref_=chttp_i_224,N/A,"Quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça.","Suriya, Lijo Mol Jose, Manikandan K."
Hotel Ruanda,2004,8.1,https://www.imdb.com/pt/title/tt0395169/?ref_=chttp_i_225,N/A,Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix"
Platoon,1986,8.1,https://www.imdb.com/pt/title/tt0091763/?ref_=chttp_i_226,N/A,"Um jovem recruta no Vietnã, se vê preso em uma batalha de vontades entre dois sargentos, um bom e outro mau. Um exame perspicaz da brutalidade da guerra e da dualidade do homem em conflito.","Charlie Sheen, Tom Berenger, Willem Dafoe"
Os Melhores Anos de Nossa Vida,1946,8.1,https://www.imdb.com/pt/title/tt0036868/?ref_=chttp_i_227,N/A,Três veteranos da Segunda Guerra Mundial voltam para casa na cidade pequena da América para descobrir que eles e suas famílias foram mudados irreparavelmente.,"Myrna Loy, Dana Andrews, Fredric March"
Antes do Pôr do Sol,2004,8.1,https://www.imdb.com/pt/title/tt0381681/?ref_=chttp_i_228,N/A,"Nove anos depois de se conhecer, o Jesse e a Celine se encontram novamente na França.","Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
A Noviça Rebelde,1965,8.1,https://www.imdb.com/pt/title/tt0059742/?ref_=chttp_i_229,N/A,Uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.,"Julie Andrews, Christopher Plummer, Eleanor Parker"
O Exorcista,1973,8.1,https://www.imdb.com/pt/title/tt0070047/?ref_=chttp_i_230,N/A,"Quando uma adolescente é possuída por uma entidade misteriosa, sua mãe busca a ajuda de dois padres católicos para salvar sua vida.","Ellen Burstyn, Max von Sydow, Linda Blair"
Os Incríveis,2004,8.0,https://www.imdb.com/pt/title/tt0317705/?ref_=chttp_i_231,N/A,Uma familia de heróis encobertos tentando viver uma vida tranquila se vem obrigados a salvar o mundo.,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
Sempre ao Seu Lado,2009,8.1,https://www.imdb.com/pt/title/tt1028532/?ref_=chttp_i_232,N/A,Um professor universitário se liga a um cachorro abandonado que ele leva para casa.,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
Rush: No Limite da Emoção,2013,8.1,https://www.imdb.com/pt/title/tt1979320/?ref_=chttp_i_233,N/A,A história da rivalidade impiedosa nos anos 70 entre os rivais de Fórmula 1 James Hunt e Niki Lauda.,"Daniel Brühl, Chris Hemsworth, Olivia Wilde"
O Mágico de Oz,1939,8.1,https://www.imdb.com/pt/title/tt0032138/?ref_=chttp_i_234,N/A,A Dorothy Gale é levada por um tornado até a mágica cidade de Oz e vá numa viagem com novos amigos que la ajudar a voltar para casa.,"Judy Garland, Frank Morgan, Ray Bolger"
O Martírio de Joana D'Arc,1928,8.1,https://www.imdb.com/pt/title/tt0019254/?ref_=chttp_i_235,N/A,"Em 1431, Joana D'Arc é julgada sob acusações de heresia. Os advogados da Igreja tentam forçar Jeanne a retractar suas reivindicações de visões sagradas.","Maria Falconetti, Eugene Silvain, André Berley"
Conta Comigo,1986,8.1,https://www.imdb.com/pt/title/tt0092005/?ref_=chttp_i_236,N/A,"Depois da morte de um de seus velhos amigos, um escritor relembra sua viagem com os amigos de infância para encontrar o corpo de um menino desaparecido.","Wil Wheaton, River Phoenix, Corey Feldman"
A Voz do Silêncio,2016,8.1,https://www.imdb.com/pt/title/tt5323662/?ref_=chttp_i_237,N/A,"Um jovem é excluído por seus colegas depois de intimidar uma menina surda ao ponto de mudar de escola. Anos depois, ele parte para o caminho da redenção.","Miyu Irino, Saori Hayami, Aoi Yûki"
O Gigante de Ferro,1999,8.1,https://www.imdb.com/pt/title/tt0129167/?ref_=chttp_i_238,N/A,"Um jovem faz amizade com um robô gigante do espaço, um paranóico agente do governo quer que seja destruído.","Eli Marienthal, Harry Connick Jr., Jennifer Aniston"
Meu Pai e Meu Filho,2005,8.2,https://www.imdb.com/pt/title/tt0476735/?ref_=chttp_i_239,N/A,A família de um jornalista de esquerda é separada após o golpe militar na Turquia em 1980.,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
Rede de Intrigas,1976,8.1,https://www.imdb.com/pt/title/tt0074958/?ref_=chttp_i_240,N/A,Uma rede de televisão explora os delírios e revelações de um homem perturbado.,"Faye Dunaway, William Holden, Peter Finch"
A Criada,2016,8.1,https://www.imdb.com/pt/title/tt4016934/?ref_=chttp_i_241,N/A,"Uma mulher é contratada como criada de uma herdeira japonesa, mas secretamente esta envolvida em um plano para defraudá-la.","Kim Min-hee, Ha Jung-woo, Cho Jin-woong"
A Batalha de Argel,1966,8.1,https://www.imdb.com/pt/title/tt0058946/?ref_=chttp_i_242,N/A,"Nos anos 1950, o medo e a violência aumentam à medida que o povo da Argélia luta pela independência do governo francês.","Brahim Hadjadj, Jean Martin, Yacef Saadi"
As Vinhas da Ira,1940,8.1,https://www.imdb.com/pt/title/tt0032551/?ref_=chttp_i_243,N/A,"Uma família pobre no Centro-Oeste é forçada a abandonar suas terras. Eles viajam para a Califórnia, sofrendo os infortúnios dos sem-teto na Grande Depressão.","Henry Fonda, Jane Darwell, John Carradine"
Ser ou Não Ser,1942,8.1,https://www.imdb.com/pt/title/tt0035446/?ref_=chttp_i_244,N/A,"Durante a ocupação nazista da Polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão.","Carole Lombard, Jack Benny, Robert Stack"
Na Natureza Selvagem,2007,8.0,https://www.imdb.com/pt/title/tt0758758/?ref_=chttp_i_245,N/A,"Depois de terminar a universidade, Christopher McCandless deixa pra trás suas posses e vai para o Alasca viver na natureza.","Emile Hirsch, Vince Vaughn, Catherine Keener"
Histórias Cruzadas,2011,8.1,https://www.imdb.com/pt/title/tt1454029/?ref_=chttp_i_246,N/A,Uma aspirante a escritora durante o movimento dos direitos civis nos anos 60 nos Estados Unidos decide escrever um livro sobre as experiências das criadas negras que trabalhavam para as famílias brancas.,"Viola Davis, Emma Stone, Octavia Spencer"
Feitiço do Tempo,1993,8.0,https://www.imdb.com/pt/title/tt0107048/?ref_=chttp_i_247,N/A,Um homem vive o mesmo dia uma e outra vez.,"Bill Murray, Andie MacDowell, Chris Elliott"
A Chantagem,2015,8.2,https://www.imdb.com/pt/title/tt4430212/?ref_=chttp_i_248,N/A,Um homem toma medidas desesperadas para tentar salvar sua família do lado negro da lei depois que eles cometem um crime inesperado.,"Ajay Devgn, Shriya Saran, Tabu"
Demon Slayer: Mugen Train - O Filme,2020,8.2,https://www.imdb.com/pt/title/tt11032374/?ref_=chttp_i_249,N/A,"Tanjiro, Inosuke e Zenitsu são enviados pelo comando do Esquadrão de Exterminadores para uma missão no Trem Infinito, onde devem se encontrar com o Pilar das Chamas, Rengoku, e impedir um oni que está fazendo inúmeras vítimas.","Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka"
Gangues de Wasseypur,2012,8.2,https://www.imdb.com/pt/title/tt1954470/?ref_=chttp_i_250,N/A,Um confronto entre Sultão e Shahid Khan leva à expulsão de Khan de Wasseypur e acende uma rivalidade mortal que se estende por três gerações.,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia"
